group,displacement_mm,peel_strength_2F_over_W_N_per_m
Fr-PA-10,17.01187,282.33299
Fr-PA-10,17.04111,282.17838
Fr-PA-10,17.06782,282.06286
Fr-PA-10,17.09595,281.88405
Fr-PA-10,17.12495,281.71639
Fr-PA-10,17.15083,281.56364
Fr-PA-10,17.179,281.42207
Fr-PA-10,17.20786,281.23019
Fr-PA-10,17.23423,280.99918
Fr-PA-10,17.26177,280.87065
Fr-PA-10,17.29165,280.56328
Fr-PA-10,17.31826,280.34534
Fr-PA-10,17.3457,280.03798
Fr-PA-10,17.37451,279.74179
Fr-PA-10,17.40093,279.38411
Fr-PA-10,17.4291,279.11401
Fr-PA-10,17.45815,278.81968
Fr-PA-10,17.48472,278.48623
Fr-PA-10,17.51201,278.28133
Fr-PA-10,17.54102,278.08945
Fr-PA-10,17.56831,277.79326
Fr-PA-10,17.59575,277.4859
Fr-PA-10,17.62471,277.20461
Fr-PA-10,17.65088,276.8842
Fr-PA-10,17.6811,276.64015
Fr-PA-10,17.70781,276.35887
Fr-PA-10,17.73501,276.14093
Fr-PA-10,17.7623,275.84474
Fr-PA-10,17.79126,275.65286
Fr-PA-10,17.81768,275.40884
Fr-PA-10,17.84746,275.16665
Fr-PA-10,17.87412,274.89655
Fr-PA-10,17.90137,274.52397
Fr-PA-10,17.92866,274.28181
Fr-PA-10,17.95762,273.89622
Fr-PA-10,17.98511,273.65217
Fr-PA-10,18.01397,273.35784
Fr-PA-10,18.04023,273.06352
Fr-PA-10,18.06768,272.87166
Fr-PA-10,18.09756,272.60153
Fr-PA-10,18.12402,272.40968
Fr-PA-10,18.15146,272.25506
Fr-PA-10,18.18037,271.99984
Fr-PA-10,18.20664,271.79308
Fr-PA-10,18.23477,271.66641
Fr-PA-10,18.26387,271.55089
Fr-PA-10,18.29033,271.46149
Fr-PA-10,18.31763,271.3702
Fr-PA-10,18.34692,271.23048
Fr-PA-10,18.37334,271.20442
Fr-PA-10,18.40151,270.9995
Fr-PA-10,18.43047,270.84489
Fr-PA-10,18.45615,270.79458
Fr-PA-10,18.48442,270.62693
Fr-PA-10,18.51357,270.52448
Fr-PA-10,18.53999,270.38291
Fr-PA-10,18.56743,270.19103
Fr-PA-10,18.59727,270.08858
Fr-PA-10,18.62373,270.01219
Fr-PA-10,18.65103,269.90974
Fr-PA-10,18.68013,269.76817
Fr-PA-10,18.70654,269.6918
Fr-PA-10,18.73472,269.49992
Fr-PA-10,18.76362,269.37139
Fr-PA-10,18.79033,269.20373
Fr-PA-10,18.81758,269.01186
Fr-PA-10,18.84624,268.89637
Fr-PA-10,18.87383,268.81998
Fr-PA-10,18.90127,268.70449
Fr-PA-10,18.93013,268.57595
Fr-PA-10,18.95674,268.49959
Fr-PA-10,18.98657,268.39712
Fr-PA-10,19.01284,268.33193
Fr-PA-10,19.04004,268.2425
Fr-PA-10,19.06753,268.28163
Fr-PA-10,19.09649,268.2425
Fr-PA-10,19.12383,268.34497
Fr-PA-10,19.15283,268.34497
Fr-PA-10,19.17939,268.42134
Fr-PA-10,19.20659,268.34497
Fr-PA-10,19.23647,268.28163
Fr-PA-10,19.26299,268.2425
Fr-PA-10,19.29033,268.14005
Fr-PA-10,19.31943,268.1531
Fr-PA-10,19.34595,268.1531
Fr-PA-10,19.3731,268.08789
Fr-PA-10,19.40288,268.03761
Fr-PA-10,19.42935,268.01152
Fr-PA-10,19.45664,268.08789
Fr-PA-10,19.48657,268.06366
Fr-PA-10,19.51216,268.19222
Fr-PA-10,19.54043,268.21642
Fr-PA-10,19.56939,268.34497
Fr-PA-10,19.596,268.42134
Fr-PA-10,19.62329,268.41016
Fr-PA-10,19.65225,268.57595
Fr-PA-10,19.67891,268.54987
Fr-PA-10,19.70732,268.62812
Fr-PA-10,19.73618,268.66536
